Eddard  	Stark   	Ned@westeros.net              	Research & Development	100	100
Benjen  	Stark   	ColdHands@westeros.net        	Auditing            	120	601
Catelyn 	Stark   	Mother@westeros.net           	Human Resources     	140	302
Arya    	Stark   	A_Girl@westeros.net           	Research & Development	101	103
Robb    	Stark   	YoungWolf@westeros.net        	Research & Development	102	104
Sansa   	Stark   	LittleDove@westeros.net       	Research & Development	103	105
Bran    	Stark   	TheRaven@westeros.net         	Research & Development	104	106
Rickon  	Stark   	Shaggydog@westeros.net        	Research & Development	105	107
Jon     	Snow    	TheGhostBrother@westeros.net  	Auditing            	121	608
Tyrion  	Lannister	TheImp@westeros.net           	Accounting          	160	409
Jaime   	Lannister	TheGoldenHand@westeros.net    	Accounting          	161	410
Cersei  	Lannister	TheLionQueen@westeros.net     	Accounting          	162	411
Robert  	Baratheon	TheUsurper@westeros.net       	Sales               	180	512
Stannis 	Baratheon	ThePromised@westeros.net      	Sales               	181	513
Renly   	Baratheon	SummerKing@westeros.net       	Sales               	182	514
Daenerys	Targaryen	MotherOfDragons@westeros.net  	Marketing           	199	215
Viserys 	Targaryen	GoldenKing@westeros.net       	Marketing           	200	216
